,precision,recall,f1-score,support
Black-grass,0.9142857142857143,0.6530612244897959,0.7619047619047619,49.0
Charlock,0.963855421686747,0.963855421686747,0.963855421686747,83.0
Cleavers,0.9821428571428571,0.9016393442622951,0.9401709401709402,61.0
Common Chickweed,0.9157894736842105,0.7310924369747899,0.8130841121495327,119.0
Common wheat,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0
Fat Hen,0.6642335766423357,0.9381443298969072,0.7777777777777778,97.0
Loose Silky-bent,0.8723404255319149,0.9318181818181818,0.9010989010989011,132.0
Maize,0.975609756097561,1.0,0.9876543209876543,40.0
Scentless Mayweed,0.7205882352941176,0.8909090909090909,0.7967479674796748,110.0
Shepherds Purse,0.9629629629629629,0.5306122448979592,0.6842105263157895,49.0
Small-flowered Cranesbill,0.9351851851851852,0.9528301886792453,0.9439252336448598,106.0
Sugar beet,1.0,0.8059701492537313,0.8925619834710744,67.0
accuracy,0.8621052631578947,0.8621052631578947,0.8621052631578947,0.8621052631578947
macro avg,0.8976548727815393,0.8470664564778007,0.8606547342960482,950.0
weighted avg,0.8809191217891842,0.8621052631578947,0.8614344864523321,950.0
